BookID,Title,Author,Rating,Number of raters,5 stars,4 stars,3 stars,2 stars,1 star,Number of reviewers,Pages,PublishDate,Book format,Language,GenreLink,Series,Raters
1210097,Return of the Condor Heroes Boxed Set: Volume 1-18,Jin Yong,4.43,959,570,266,95,24,4,47,,1959,Paperback,,539945,Condor Trilogy,959
1210108,The Later Roman Empire,Averil Cameron,3.81,229,61,84,65,17,2,12,256.0,1993,Paperback,English,1198481,,229
1210109,Grave Risk,Hannah Alexander,3.97,209,70,81,46,6,6,16,359.0,December 26th 2006,Paperback,English,1198482,Hideaway,209
504763,La Chatte,Colette,3.5,890,145,313,300,105,27,85,158.0,June 12th 1933,Paperback,French,1198506,,890
1210136,La Chatte,Colette,3.5,890,145,313,300,105,27,85,212.0,June 12th 1933,Paperback,French,1198506,,890
338798,Ulysses,"James Joyce, Morris L. Ernst, Nevzat Erkmen, John M. Woolsey",3.73,114819,42049,29512,22846,10941,9471,7106,783.0,February 2nd 1922,Paperback,English,2368224,,114819
1210156,Die Männer Der ' Ulysses'. Roman,Alistair MacLean,4.06,6335,2472,2132,1400,282,49,309,,1955,,,384808,,6335
1210163,Champagne: How the World's Most Glamorous Wine Triumphed Over War and Hard Times,"Don Kladstrup, Petie Kladstrup",3.98,473,135,211,110,16,1,51,304.0,November 1st 2005,Hardcover,English,249045,,473
162314,Why Men Don't Listen and Women Can't Read Maps: How We're Different and What to Do About It,"Allan Pease, Barbara Pease",3.76,9854,2857,3326,2523,786,362,700,272.0,1998,Paperback,,605296,,9854
1210170,Die Kalte Schulter Und Der Warme Händedruck,"Allan Pease, Barbara Pease",3.85,3147,976,1102,762,220,87,138,,1981,,,1901778,,3147
618911,Why Men Can Only Do One Thing at a Time Women Never Stop Talking,"Allan Pease, Barbara Pease, بیژن پایدار, پگاه پایدار",3.79,606,196,186,148,52,24,73,120.0,January 16th 2003,Hardcover,English,1860958,,606
1210175,Eine Dumme Frage Ist Besser Als Jede Kluge Antwort: Wie Man Erfolgreich Überzeugt,"Allan Pease, Barbara Pease",4.03,1289,558,366,251,74,40,118,131.0,2000,,German,302920,,1289
1210169,Warum Männer Lügen Und Frauen Immer Schuhe Kaufen,"Allan Pease, Barbara Pease",3.65,1063,278,345,283,109,48,86,367.0,2002,,German,302908,,1063
1210166,Romance of the Three Kingdoms Vol. 1,"Luo Guanzhong, C.H. Brewitt-Taylor",4.29,2023,1057,608,268,65,25,154,648.0,1360,Hardcover,English,70688781,The Three Kingdoms (2 volumes),2023
1210173,Warum Männer Lügen Und Frauen Immer Schuhe Kaufen,"Allan Pease, Barbara Pease",3.65,1063,278,345,283,109,48,86,,2002,,,302908,,1063
1210171,Das Testbuch. Warum Männer nicht zuhören und Frauen schlecht einparken.,"Allan Pease, Barbara Pease",3.76,9855,2857,3328,2522,786,362,700,224.0,1998,,German,605296,,9855
1210172,Eine Dumme Frage Ist Besser Als Fast Jede Kluge Antwort,"Allan Pease, Barbara Pease",4.03,1289,558,366,251,74,40,118,144.0,2000,,German,302920,,1289
313605,Getting to Yes: Negotiating Agreement Without Giving In,"Roger Fisher, William Ury, Bruce Patton",3.94,63660,21342,22787,15202,3205,1124,1946,224.0,1981,Paperback,English,1394134,,63660
1210177,Das Harvard-Konzept : der Klassiker der Verhandlungstechnik,"Roger Fisher, William Ury, Bruce Patton",3.94,63660,21342,22787,15202,3205,1124,1946,268.0,1981,Paperback,,1394134,,63660
1210180,Das Harvard Konzept. Der Klassiker Der Verhandlungstechnik. Handelsblatt Karriere Und Management Bd. 1,"Roger Fisher, William Ury, Bruce Patton",3.94,63660,21342,22787,15202,3205,1124,1946,,1981,,,1394134,,63660
18144590,The Alchemist,"Paulo Coelho, Alan R. Clarke, James Noel Smith",3.88,2241368,862804,651557,438518,181204,107285,85627,182.0,1988,Paperback,English,4835472,,2241368
1210186,Illuminati Entschlüsselt,Simon Cox,4.43,1655,1019,417,156,37,26,17,,January 1st 2004,,,9985,,1655
1210187,Der Alchimist,"Paulo Coelho, Cordula Swoboda Herzog",3.88,2241517,862873,651598,438537,181219,107290,85633,188.0,1988,Hardcover,German,4835472,,2241517
1210189,Handbuch des Kriegers des Lichts,"Paulo Coelho, Maralde Meyer-Minnemann",3.69,32236,10094,8938,8096,3428,1680,1617,151.0,1997,Paperback,German,1179777,,32236
1210188,Elf Minuten,"Paulo Coelho, Maralde Meyer-Minnemann",3.7,153774,41047,51467,41070,14393,5797,7033,284.0,2003,Paperback,German,1950213,,153774
1210191,Der Zahir,"Paulo Coelho, Maralde Meyer-Minnemann",3.58,70898,16945,21660,20833,8161,3299,3411,341.0,2005,,German,3341790,,70898
1210192,"Sei Wie Ein Fluß, Der Still Die Nacht Durchströmt","Paulo Coelho, Maralde Meyer-Minnemann",3.92,18164,6162,6239,4281,1104,378,1051,268.0,2000,,German,2117724,,18164
1210193,Unterwegs / Der Wanderer,"Paulo Coelho, Maralde Meyer-Minnemann",3.41,11243,2383,2979,3526,1610,745,747,144.0,1994,Paperback,German,464034,,11243
1210199,Der Dämon und Fräulein Prym,"Paulo Coelho, Maralde Meyer-Minnemann",3.61,62088,13499,20856,19504,6274,1955,3036,199.0,2000,Paperback,German,3207183,On the Seventh Day ,62088
1210200,Unterwegs. Geschichten und Gedanken,"Paulo Coelho, Markus Hoffmann",3.41,11243,2383,2979,3526,1610,745,747,,1994,Audio CD,German,464034,,11243
1426,Warrior of the Light,Paulo Coelho,3.69,32233,10092,8938,8095,3428,1680,1617,142.0,1997,Paperback,English,1179777,,32233
1210203,Elf Minuten,"Paulo Coelho, Maralde Meyer-Minnemann",3.7,153774,41047,51467,41070,14393,5797,7033,286.0,2003,Hardcover,German,1950213,,153774
1210205,Die Hexe Von Portobello,Paulo Coelho,3.54,72312,16421,21628,22158,8878,3227,3845,320.0,September 2006,Hardcover,German,13855759,,72312
1210204,Auf Dem Jakobsweg Tagebuch Einer Pilgerreise Nach Santiago De Compostela,"Paulo Coelho, Maralde Meyer-Minnemann, Jürgen Dluzniewski, Christian Brückner, Margarete Salbach, Patrick Blank",3.64,51478,13574,16006,14159,5457,2282,2218,,1987,Audio CD,German,6186633,,51478
