BookID,Title,Author,Rating,Number of raters,5 stars,4 stars,3 stars,2 stars,1 star,Number of reviewers,Pages,Book format,Language,GenreLink,Series,PublishYear
12282791,El lado oscuro,"Lotte Hammer, Søren Hammer",3.1,1666,180,404,630,310,142,237,0,ebook,Spanish,21858254,Konrad Simonsen,2010
12282802,Curious George Visits a Toy Store,"Margret Rey, H.A. Rey, Martha Weston",3.96,533,181,178,150,20,4,43,27,Kindle Edition,English,561746,Curious George New Adventures,2002
175324,Double Star,Robert A. Heinlein,3.9,20991,6191,8019,5545,1022,214,755,243,Mass Market Paperback,English,2887127,None,1956
12282864,Tuck Everlasting,"Natalie Babbitt, Barbara Caruso",3.87,246120,79060,85512,59087,16299,6162,9672,0,Audio Cassette,English,1955922,None,1975
12282868,Electrocardiografia Practica,"Dale Dubin, Roberto Folch Fabre",4.43,1591,955,450,135,22,29,84,294,Paperback,English,594715,None,1975
12282885,Elliot and the Pixie Plot: The Underworld Chronicles,"Jennifer A. Nielsen, Gideon Kendall",4.04,201,74,72,48,4,3,26,208,ebook,English,14761224,Underworld Chronicles,2011
12282887,One More Time,Carol Burnett,4.17,2318,1023,806,385,66,38,174,270,Hardcover,English,2171565,None,1986
12282889,Jamie's Great Britain,Jamie Oliver,4.06,1253,479,449,261,49,15,49,408,Hardcover,English,17258976,None,2011
12282893,Escape from Paris,Carolyn G. Hart,3.76,206,42,89,61,11,3,28,270,Kindle Edition,English,1995498,None,1982
12282895,Võluv võrdsus,"Terry Pratchett, Aet Varik",4.01,154860,53335,60607,32604,5869,2445,4506,214,Hardcover,Estonian,583611,Discworld,1987
12282894,Cerulean Sins,Laurell K. Hamilton,3.85,50025,17669,14814,11564,4278,1700,905,426,Kindle Edition,English,2953328,"Anita Blake, Vampire Hunter",2003
12282898,Proof of Heaven,Mary Curran Hackett,3.42,871,167,252,281,124,47,166,270,Kindle Edition,English,15623568,None,2011
12282905,蛙,"Mo Yan, 吉田 富夫",3.76,3216,764,1292,843,247,70,396,476,Hardcover,Japanese,17258994,None,2009
12282913,Mallory on the Move,"Laurie B. Friedman, Tamara Schmitz",4.25,980,532,236,156,35,21,83,160,Paperback,English,1243006,Mallory en Español,2004
12282915,Mallory Vs Max,"Laurie B. Friedman, Tamara Schmitz",4.27,517,295,111,81,15,15,36,160,Paperback,English,560504,Mallory McDonald,2004
12282914,In Business with Mallory,"Laurie B. Friedman, Barbara Pollak",4.36,419,252,92,53,16,6,24,160,Paperback,English,288797,Mallory McDonald,2006
12282916,"Happy Birthday, Mallory!","Laurie B. Friedman, Tamara Schmitz",4.3,444,258,102,56,14,14,21,160,Paperback,English,184821,Mallory McDonald,2005
12282919,Scarecrow's Hat,Ken Brown,4.04,317,107,132,65,11,2,49,32,Paperback,English,921221,None,2001
12282924,Yo No Vengo A Decir Un Discurso,Gabriel García Márquez,4.0,1432,473,552,348,45,14,176,151,Paperback,English,14353540,None,2010
12282925,Gone,Mo Hayder,4.03,8316,2656,3659,1646,281,74,799,415,Paperback,English,9099802,Jack Caffery,2010
12282931,Barrayar,Lois McMaster Bujold,4.3,25898,12401,9622,3195,493,187,1018,324,Kindle Edition,English,3036422,Vorkosigan Saga (Publication Order),1991
