GenreLink,Genre,NumberOfPeople
/work/shelves/6153,shelf-science,1
/work/shelves/6153,hawking,1
/work/shelves/96418,sciences,13
/work/shelves/96418,quantum-mechanics,13
/work/shelves/96418,abandoned,12
/work/shelves/96418,science-and-math,12
/work/shelves/96418,علوم,11
/work/shelves/96418,reference,11
/work/shelves/208911,to-read,2696
/work/shelves/6153,favourite,1
/work/shelves/6153,bookshelf,1
/work/shelves/6153,start-here,1
/work/shelves/6153,10-genre-academic,1
/work/shelves/6153,fire-loss-read,1
/work/shelves/6153,مكتبتى,1
/work/shelves/6153,z__cz-sk-transl,1
/work/shelves/96418,science-technology,11
/work/shelves/96418,science-non-fiction,11
/work/shelves/96418,cosmology,10
/work/shelves/96418,2020,9
/work/shelves/96418,science-nature,8
/work/shelves/208911,science,169
/work/shelves/208911,physics,72
/work/shelves/208911,non-fiction,67
/work/shelves/208911,currently-reading,54
/work/shelves/208911,owned,25
/work/shelves/208911,nonfiction,15
/work/shelves/6153,p,1
/work/shelves/6153,non-fiction-megalist,1
/work/shelves/6153,need-to-read-again,1
/work/shelves/6153,literature-5,1
/work/shelves/6153,home,1
/work/shelves/6153,gods-art-the-sciences,1
/work/shelves/6153,given-away,1
/work/shelves/96418,stem,8
/work/shelves/96418,history-of-science,8
/work/shelves/96418,non-fiction-to-read,8
/work/shelves/96418,to-read-science,8
/work/shelves/96418,maybe,8
/work/shelves/208911,default,14
/work/shelves/208911,own,13
/work/shelves/208911,popular-science,11
/work/shelves/208911,owned-books,7
/work/shelves/208911,quantum-mechanics,7
/work/shelves/208911,books-i-own,7
/work/shelves/208911,favorites,5
/work/shelves/208911,i-own,5
/work/shelves/6153,british-lit,1
/work/shelves/6153,books-we-own,1
/work/shelves/6153,authors-hawking-stephen,1
/work/shelves/6153,astronomy-physics,1
/work/shelves/6153,__bookcase,1
/work/shelves/96418,2018,7
/work/shelves/96418,كتب-علمية,7
/work/shelves/96418,pop-science,7
/work/shelves/96418,ebooks,7
/work/shelves/96418,own-to-read,7
/work/shelves/96418,english,7
/work/shelves/96418,wish-list,7
/work/shelves/208911,science-and-math,5
/work/shelves/208911,quantum,5
/work/shelves/208911,to-buy,5
/work/shelves/208911,wishlist,5
/work/shelves/208911,science-physics,4
/work/shelves/208911,history,4
/work/shelves/96418,i-own,7
/work/shelves/96418,2021,6
/work/shelves/96418,science-and-technology,6
/work/shelves/96418,2016,6
/work/shelves/208911,quantum-theory,4
/work/shelves/208911,library,4
/work/shelves/208911,science-technology,3
/work/shelves/208911,science-to-read,3
/work/shelves/208911,cats,3
/work/shelves/208911,philosophy,3
/work/shelves/208911,science-math,3
/work/shelves/96418,other,6
/work/shelves/96418,فيزياء,6
/work/shelves/96418,my-books,6
/work/shelves/96418,2014,6
/work/shelves/96418,want-to-buy,6
/work/shelves/96418,home,6
/work/shelves/208911,joe,2
/work/shelves/208911,tbd,2
/work/shelves/208911,other-non-fiction,2
/work/shelves/208911,on-my-bookshelf,2
/work/shelves/208911,maths-and-science,2
/work/shelves/208911,wish-list,2
/work/shelves/208911,to-sell,2
/work/shelves/208911,my-books,2
/work/shelves/96418,to-read-non-fiction,6
/work/shelves/96418,ciencia,6
/work/shelves/96418,to-get,6
/work/shelves/96418,science-math,6
/work/shelves/96418,math-and-science,6
/work/shelves/96418,science-tech,6
/work/shelves/96418,general-science,6
/work/shelves/96435,to-read,677
/work/shelves/208911,humor,2
/work/shelves/208911,abandoned,2
/work/shelves/208911,my-collection,2
/work/shelves/208911,didn-t-finish,2
/work/shelves/208911,my-library,2
/work/shelves/208911,general-non-fiction,2
/work/shelves/208911,bilim,2
/work/shelves/96418,scientific,6
/work/shelves/96418,2019,5
/work/shelves/96418,shelf,5
/work/shelves/96418,astronomy,5
/work/shelves/96418,tbr,5
/work/shelves/96435,currently-reading,176
/work/shelves/96435,science,43
/work/shelves/96435,physics,22
/work/shelves/96435,non-fiction,11
/work/shelves/96435,nonfiction,7
/work/shelves/96435,quantum-physics,6
