BookID,Title,Author,Rating,Number of raters,5 stars,4 stars,3 stars,2 stars,1 star,Number of reviewers,Pages,PublishDate,Book format,Language,GenreLink,Series
785669,Bart Simpson's Guide to Life: A Wee Handbook for the Perplexed,Matt Groening,3.87,2456,813,780,643,181,39,200,187,January 1st 1993,Hardcover,English,366393,
1600042,Seven Men of Gascony,"R.F. Delderfield, Ronald Frederick Delderfield",4.06,179,65,72,33,6,3,18,383,January 1st 1975,Hardcover,English,362786,
1600038,Die Simpsons und die Philosophie: Schlauer werden mit der berühmtesten Fernsehfamilie der Welt,"Aeon J. Skoble, Mark T. Conard, William Irwin",3.46,2790,432,894,1069,328,67,206,255,February 28th 2001,Hardcover,German,32029,Popular Culture and Philosophy
96809,The Bart Book: Simpsons Library of Wisdom,"Matt Groening, Bill Morrison",3.93,207,72,65,57,9,4,9,96,October 1st 2004,Hardcover,English,1941800,The Simpsons Library of Wisdom
1600049,"Orationes: Volume I: Pro Sex. Roscio, De Imperio Cn. Pompei, Pro Cluentio, In Catilinam, Pro Murena, Pro Caelio",Marcus Tullius Cicero,3.67,12,2,5,4,1,0,0,352,February 22nd 1922,Hardcover,Latin,14528590,
1600051,Pro Caelio,"Marcus Tullius Cicero, Stephen Ciraolo",3.76,227,60,75,75,12,5,17,232,January 1st -62,Paperback,English,432024,
1600057,Die Simpsons forever! : der ultimative Serienguide ... geht weiter,Matt Groening,4.10,760,321,250,147,28,14,17,,October 3rd 1997,,,93287,The Simpsons: A Complete Guide to Our Favorite Family
96813,Big Bad Book of Bart Simpson,"Matt Groening, Igor Baranko, John Costanza, Dan DeCarlo, Mike Kazaleh, Mike DeCarlo, James W. Bates, Luis Escobar",4.08,181,72,61,39,8,1,14,128,February 2002,Paperback,English,93314,Bart Simpson
1600063,"Women, the State, and Welfare",Linda Gordon,3.55,11,2,3,5,1,0,0,320,November 15th 1990,Paperback,English,1593259,
1600064,Die Simpsons : der ultimative Serienguide,"Matt Groening, Ray Richmond",4.09,1670,693,568,309,62,38,59,,February 28th 1995,,,440917,The Simpsons: A Complete Guide to Our Favorite Family
1600074,Boudica,Graham Webster,3.06,31,3,8,11,6,3,3,,January 1978,Hardcover,English,61891,
1600075,Boudica's Last Stand,John  Waite,3.66,35,8,12,11,3,1,8,256,April 1st 2007,Paperback,,15687166,
1600080,We the Tikopia: A Sociological Study of Kinship in Primitive Polynesia,Raymond Firth,3.36,25,2,7,14,2,0,3,,1963,Hardcover,English,1593275,
1600079,"We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia",Raymond Firth,3.36,25,2,7,14,2,0,3,,1963,Paperback,English,1593275,
1600083,Last Wish,Betty Rollin,3.90,115,31,46,34,3,1,17,236,1985,Paperback,English,1593288,
1254246,Last Wish,Betty Rollin,3.90,115,31,46,34,3,1,17,272,1985,Paperback,English,1593288,
1600096,Last Wish,Betty Rollin,3.90,115,31,46,34,3,1,17,,1985,Hardcover,English,1593288,
1600098,"The Victory of Seapower: Winning the Napoleonic War, 1806-1814",Richard Woodman,4.00,7,1,5,1,0,0,3,192,September 1998,Hardcover,English,1593294,
1600097,Que Ha Fallado En Irak?/winning Modern Wars,Wesley K. Clark,3.28,122,17,26,55,22,2,9,,2003,Paperback,,162854,
1600101,Marconi's Battle For Radio,Beverley Birch,3.64,11,1,5,5,0,0,2,,1992,Paperback,English,787970,Science Stories
412134,Last Wish,"Francine Pascal, Kate William",3.87,159,55,48,40,13,3,4,231,August 10th 1998,Mass Market Paperback,English,1593299,Sweet Valley High Super Editions
1600109,The House of Life,Dante Gabriel Rossetti,3.90,117,39,36,35,5,2,11,,1870,Paperback,English,1593305,
1600107,Lion In The White House: A Life Of Theodore Roosevelt,Aïda DiPace Donald,3.69,1695,357,640,541,132,25,201,,January 1st 2007,Audio CD,English,1973751,
1600114,Geography's Inner Worlds: Pervasive Themes in Contemporary American Geography,Ronald F. Abler,0.00,0,0,0,0,0,0,0,,July 1st 1992,Paperback,English,1593310,
1600116,Shirley Letters: From the California Mines,Louise Amelia Knapp Smith Clappe,3.88,147,51,44,39,9,4,28,224,1922,Paperback,English,1593311,
1600115,"The Shirley Letters: From the California Mines, 1851-1852",Louise Amelia Knapp Smith Clappe,3.88,147,51,44,39,9,4,28,240,1922,Paperback,English,1593311,
1600117,Rush for Riches: Gold Fever and the Making of California,J.S. Holliday,4.27,22,10,9,2,1,0,3,,May 9th 1999,Hardcover,English,1593313,
1600121,"Elements of the Representation Theory of Associative Algebras: Techniques of Representation Theory, Volume 1",Ibrahim Assem,4.80,5,4,1,0,0,0,1,458,December 1st 2004,Paperback,English,1593317,London Mathematical Society Student Texts
1600129,The Other South: Southern Dissenters in the Nineteenth Century,Carl N. Degler,4.00,8,0,8,0,0,0,0,416,January 1st 1974,Paperback,English,1593325,
1600124,People And Place: The Extraordinary Geographies Of Everyday Life,"Lewis Holloway, Phil Hubbard",3.75,8,1,4,3,0,0,0,,October 1st 2000,Paperback,English,1593320,
1600125,Key Texts in Human Geography,Gill Valentine,4.00,5,1,3,1,0,0,1,256,January 1st 2008,Hardcover,English,1162121,
1600128,"The Foundations of Modern Political Thought, Volume 2: The Age of Reformation",Quentin Skinner,4.28,96,46,35,11,4,0,12,414,November 30th 1978,Paperback,English,1593324,The Foundations of Modern Political Thought
1600122,Placing the Enlightenment: Thinking Geographically about the Age of Reason,Charles W.J. Withers,4.20,10,4,4,2,0,0,2,336,June 1st 2007,Hardcover,English,1593318,
1600130,Lockheed Stealth,Bill Sweetman,4.38,8,5,1,2,0,0,0,168,May 15th 2001,Paperback,English,1593326,
1600132,Stealth Patrol: The Making Of A Vietnam Ranger,"Bill Shanahan, John P. Brackin",4.28,36,18,12,4,2,0,5,304,October 20th 2003,Paperback,English,1593328,
1600136,Spaceflight and the Myth of Presidential Leadership,"Roger D.  Launius, Howard E. McCurdy, Roger D. Launis",4.35,20,10,7,3,0,0,1,272,1997,Paperback,English,1593332,
1600139,Nero: The Man Behind The Myth,Richard Holland,3.37,41,7,15,9,6,4,7,,2000,Paperback,English,1593335,
1600140,Southern Rights: Political Prisoners and the Myth of Confederate Constitutionalism,Mark E. Neely Jr.,3.70,10,3,3,2,2,0,1,212,October 29th 1999,Hardcover,English,1593336,
1600138,The Age of Homespun: Objects and Stories in the Creation of an American Myth,Laurel Thatcher Ulrich,4.02,504,181,189,101,29,4,44,512,2001,Paperback,English,105708,
1600151,Nero: The Man Behind the Myth,Richard Holland,3.37,41,7,15,9,6,4,7,272,2000,Hardcover,English,1593335,
1600153,The Myth Of The Powerless State: Governing The Economy In A Global Era,Linda Weiss,3.54,13,2,5,4,2,0,0,,April 1st 1998,Paperback,English,1418950,
1600155,Black Star,Robert Gandt,4.18,131,56,51,18,4,2,4,,November 4th 2003,Hardcover,English,2742552,
1600157,Stealth at Sea: The History of the Submarine,Dan van der Vat,3.92,12,4,3,5,0,0,1,374,April 3rd 1995,Hardcover,,3665589,
1600162,The Ransom of Black Stealth One,Dean Ing,3.83,180,47,74,44,11,4,8,496,August 1st 1989,Paperback,English,1593358,Aerospace Systems
1600171,The Myth of the State,Ernst Cassirer,3.90,153,48,58,35,8,4,13,,May 1946,Hardcover,English,1125777,
1600179,In Churchill's Shadow: Confronting the Past in Modern Britain,David Cannadine,3.64,25,4,10,9,2,0,1,,June 1st 2002,Hardcover,English,13753592,
1600180,Making Democracy Work: Civic Traditions In Modern Italy,Robert D. Putnam,3.85,697,195,268,182,40,12,38,,November 30th 1992,Hardcover,English,26779,
1600195,Philosophizing the Everyday: Revolutionary Praxis and the Fate of Cultural Theory,John  Roberts,3.69,16,2,9,4,0,1,4,160,March 20th 2006,Paperback,English,1593391,
1600192,Democratic Governance,James G. March,2.00,1,0,0,0,1,0,0,293,September 1st 1995,Leather Bound,English,1593388,
1600196,"Back in Time: My Life, My Fate, My Epoch: The Memoirs of Nadezhda A. Joffe",Nadezhda A. Joffe,4.33,3,1,2,0,0,0,0,245,June 1st 1994,Paperback,English,1593392,
1600197,"The Party's Over: Oil, War And The Fate Of Industrial Societies",Richard Heinberg,4.04,712,266,263,140,32,11,71,,April 1st 2003,Paperback,English,448156,
1600202,Hija del Rio,Hong Ying,3.73,480,110,189,136,32,13,40,,1997,Paperback,Spanish,973812,
1600204,Noirotica: An Anthology of Erotic Crime Stories,"Thomas S. Roche, Lucy Taylor, Nancy Kilpatrick",3.58,12,3,5,2,0,2,1,348,March 1996,Paperback,English,1593400,Noirotica
1600201,Daughter Of The River,Hong Ying,3.73,480,110,189,136,32,13,40,228,1997,Unknown Binding,English,973812,
1600208,Should the Baby Live?,"Singer Kuhse, Peter Singer, Singer Kuhse",3.20,20,4,6,5,0,5,2,235,1986,Hardcover,English,486851,
1600211,Physics and Chance: Philosophical Issues in the Foundations of Statistical Mechanics,Lawrence Sklar,3.89,9,1,6,2,0,0,0,,September 29th 1993,Paperback,English,1593407,
1600206,"Brothers of the Night: Tales of Men, Blood, and Immortality","Thomas S. Roche, Michael Rowe",3.44,16,4,4,4,3,1,0,180,October 1st 1997,Paperback,,1593402,
162914,All the Flowers Are Dying,Lawrence Block,3.95,2130,634,904,478,76,38,173,354,February 15th 2005,Mass Market Paperback,English,2422135,Matthew Scudder
1600219,NOT A BOOK: Alfie's Home,NOT A BOOK,1.81,251,30,9,21,15,176,89,30,September 1st 1993,Hardcover,English,1593415,
1600213,The Girl with the Long Green Heart,Lawrence Block,3.76,1534,355,587,482,86,24,145,,1965,Audio CD,English,1593409,
1600214,The Sins of the Fathers,Lawrence Block,3.87,9589,2360,4249,2462,393,125,725,0,1976,Audiobook,English,1593410,Matthew Scudder
1600230,Cook Your Meals the Lazy Way,Sharon Bowers,3.67,3,1,0,2,0,0,1,,December 1st 1998,Paperback,English,1593426,
1600231,Bake It Like a Man: A Real Man's Cookbook,"David Bowers, Sharon Bowers",4.00,8,2,4,2,0,0,0,292,June 1999,Paperback,English,1593427,
1600235,"Mainstreaming Men Into Gender and Development: Debates, Reflections, and Experiences","Sylvia H. Chant, Matthew C. Gutmann",3.50,2,0,1,1,0,0,0,90,October 26th 2000,Paperback,English,1593431,
1600247,Pluralism: Against the Demand for Consensus,Nicholas Rescher,3.50,8,1,3,3,1,0,0,216,1993,Hardcover,English,1593443,
1600246,On the Logic of the Social Sciences (Studies in Contemporary German Social Thought),"Jürgen Habermas, Shierry Weber Nicholsen, Jerry A. Stark",3.83,29,8,12,5,4,0,1,,1967,Hardcover,English,158642,
1600248,The Postnational Constellation: Political Essays (Studies in Contemporary German Social Thought),Jürgen Habermas,3.76,80,17,35,21,6,1,1,,September 28th 1998,Hardcover,English,1593450,
1600254,The Postnational Constellation,Jürgen Habermas,3.76,80,17,35,21,6,1,1,,September 28th 1998,Hardcover,English,1593450,
1600255,Habermas and the Unfinished Project of Modernity: Critical Essays on the Philosophical Discourse of Modernity,"Maurizio Passerin d'Entrèves, Seyla Benhabib",3.57,7,3,1,1,1,1,0,320,November 1st 1996,Paperback,English,256191,
1600257,Carpentry and Building Construction,John L. Feirer,4.31,26,14,8,3,0,1,2,978,1981,Hardcover,English,2876259,
1600267,Managing Turbulent Hearts: A Balinese Formula for Living,Unni Wikan,4.10,10,2,7,1,0,0,0,370,December 15th 1990,Paperback,English,1593463,
1600268,Generous Betrayal: Politics of Culture in the New Europe,Unni Wikan,3.80,10,1,6,3,0,0,0,308,December 1st 2001,Paperback,English,1593464,
1600269,Life Among the Poor in Cairo,Unni Wikan,4.00,5,1,3,1,0,0,1,173,February 1980,Unknown Binding,English,1593465,
1600264,The Black Pharaoh,Christian Jacq,3.56,904,173,295,321,95,20,34,,January 2nd 1985,Hardcover,English,71455,
1600272,"Folklore, Cultural Performances, and Popular Entertainments: A Communications-Centered Handbook",Richard Bauman,4.06,17,6,8,2,0,1,0,336,April 11th 1992,Paperback,English,1593468,
1600271,"Story, Performance, and Event: Contextual Studies of Oral Narrative",Richard Bauman,3.84,31,6,15,9,1,0,3,144,September 26th 1986,Paperback,English,1593467,Cambridge Studies in Oral and Literate Culture
1600276,Let Your Words Be Few: Symbolism of Speaking & Silence Among Seventeenth-Century Quakers,Richard Bauman,3.71,17,3,6,8,0,0,2,168,1984,Paperback,English,7049531,
1600274,Explorations in the Ethnography of Speaking,"Richard Bauman, Joel Sherzer",4.67,6,4,2,0,0,0,0,,1975,Paperback,English,1593470,Studies in the Social and Cultural Foundations of Language
1600275,A World of Others' Words: Cross-Cultural Perspectives on Intertextuality,Richard Bauman,3.82,11,2,7,1,0,1,0,184,2004,Paperback,English,1593471,
1600280,"Collected Papers on Mathematics, Logic, and Philosophy","Gottlob Frege, Brian McGuinness",4.67,9,6,3,0,0,0,1,422,March 1985,Hardcover,English,1593476,
1600285,The Way We Wore: A Life In Threads,Robert Elms,4.25,89,36,41,11,0,1,13,,January 1st 2005,Hardcover,English,543362,
1600284,The Wild Island,Antonia Fraser,3.12,156,11,37,72,31,5,29,45,1978,Paperback,English,227245,Jemima Shore
1600283,The Jemima Puddle-Duck Bath Book,Beatrix Potter,4.01,13172,5442,3889,2750,702,389,302,12,1908,Bath Book,,2690022,The World of Beatrix Potter: Peter Rabbit
1600289,Spain: A Portrait After the General,Robert Elms,4.11,9,2,6,1,0,0,2,252,1992,Paperback,English,1593485,
1600291,Illustrated History Of Rock Music/#07120,Jeremy Pascall,3.24,25,4,4,12,4,1,2,,2006,,,2130187,
1218934,Dreams of Leaving,Rupert Thomson,3.46,843,245,216,172,103,107,25,448,1987,Paperback,English,1593495,
1600297,Dreams of Leaving,Rupert Thomson,3.46,843,245,216,172,103,107,25,435,1987,Hardcover,,1593495,
1600296,Dreams of Leaving,Rupert Thomson,3.46,843,245,216,172,103,107,25,448,1987,,,1593495,
1600298,Dreams of Leaving,Rupert Thomson,3.46,843,245,216,172,103,107,25,448,1987,Paperback,,1593495,
117662,Alma Cogan,Gordon Burn,3.71,202,52,75,47,21,7,18,195,1991,Paperback,English,1593498,
1600302,Alma Cogan,Gordon Burn,3.71,202,52,75,47,21,7,18,224,1991,Paperback,English,1593498,
1600303,Alma Cogan: A Novel,Gordon Burn,3.71,202,52,75,47,21,7,18,,January 1st 1991,Hardcover,English,1593498,
117662,Alma Cogan,Gordon Burn,3.71,202,52,75,47,21,7,18,195,1991,Paperback,English,1593498,
1600308,On Being Normal and Other Disorders: A Manual for Clinical Psychodiagnostics,Paul Verhaeghe,4.16,69,28,26,13,2,0,4,528,November 17th 2004,Paperback,English,1593504,
1600310,Existe La Mujer?: de La Histerica de Freud a Lo Femenino En Lacan,Paul Verhaeghe,3.97,31,12,10,6,2,1,2,,December 1st 1996,Paperback,Spanish,254603,
1600118,Striking It Rich: The Story of the California Gold Rush,Stephen Krensky,4.25,8,4,2,2,0,0,1,64,August 1st 1996,Hardcover,English,1682422,
1600321,Out Of The Doll's House: The Story Of Women In The Twentieth Century,Angela Holdsworth,4.23,31,11,17,2,1,0,3,200,September 29th 1988,Paperback,English,1593517,
1600327,"Curing the Colonizers: Hydrotherapy, Climatology, and French Colonial Spas",Eric T. Jennings,3.40,5,1,1,2,1,0,0,288,October 4th 2006,Paperback,English,1593523,
1600340,Dominique,Eugène Fromentin,3.56,80,17,27,23,10,3,12,,1862,Paperback,English,1444950,
1454189,Dominique,"Eugène Fromentin, Pierre Barbéris",3.56,80,17,27,23,10,3,12,339,1862,Mass Market Paperback,,1444950,
1600341,Dominique,Eugène Fromentin,3.56,80,17,27,23,10,3,12,,1862,Paperback,French,1444950,
1600348,Autonomy and Solidarity,"Jürgen Habermas, Peter Dews",3.45,11,1,6,2,1,1,0,277,1986,Paperback,English,1593544,
1600347,Autonomy and Solidarity,"Jürgen Habermas, Peter Dews",3.45,11,1,6,2,1,1,0,277,1986,Hardcover,English,1593544,
1600349,Habermas: A Critical Reader,Peter Dews,3.50,4,0,2,2,0,0,1,,November 23rd 1999,Hardcover,English,1593545,
1600350,Autonomy and Solidarity: Interviews with Jurgen Habermas,"Jürgen Habermas, Peter Dews",3.45,11,1,6,2,1,1,0,260,1986,Hardcover,English,1593544,
1600346,The Philosophical Discourse of Modernity,Jürgen Habermas,3.83,1205,391,396,276,102,40,29,400,1985,Hardcover,,1593542,
1600351,Autonomy and Solidarity: Interviews with Jurgen Habermas,"Jürgen Habermas, Peter Dews",3.45,11,1,6,2,1,1,0,,1986,Unknown Binding,English,1593544,
1600359,2 Live 4: Why Did You Think You Were Here?,"Ryan Dobson, Marcus Brotherton",4.08,37,13,15,8,1,0,4,139,October 17th 2005,Paperback,English,1131939,
1600364,"German Football: History, Culture, Society and the World Cup 2006","A. Tomlinson, A. Tomlinson",3.78,9,2,4,2,1,0,1,272,February 13th 2005,Hardcover,English,1299916,
1600372,40 Architects Around,Jessica Cargill Thompson,3.44,16,3,4,6,3,0,1,,2006,Paperback,Spanish,399630,
1600373,Understanding Architecture,Marco Bussagli,4.09,23,7,11,5,0,0,0,384,2003,Hardcover,English,6259799,
1600375,Guilty Pleasures: Feminist Camp From Mae West To Madonna,Pamela Robertson,4.05,19,8,7,2,1,1,0,216,March 15th 1996,Paperback,,1593571,
1600374,Towards Post-modernism: Design Since 1851,Michael       Collins,3.00,1,0,0,1,0,0,0,192,September 28th 1987,Paperback,,423929,
1600370,Sur La Photographie,Susan Sontag,3.85,39983,15257,12068,7006,2809,2843,842,,1973,,,768174,
1600376,Designing the 21st Century,"Charlotte Fiell, Peter Fiell",3.50,90,11,33,38,6,2,4,576,1996,Paperback,English,1002322,
1600382,Designing West Africa: Prelude to 21st Century Calamity,Peter Schwab,3.46,13,2,4,5,2,0,1,192,January 1st 2004,Hardcover,English,1593578,
452002,Two Weeks with the Queen,Morris Gleitzman,3.78,2025,589,680,540,161,55,180,144,March 28th 1991,,,440626,
452002,Two Weeks with the Queen,Morris Gleitzman,3.78,2025,589,680,540,161,55,180,144,March 28th 1991,,,440626,
1600400,The Art Thief,Noah Charney,3.03,2786,289,621,1003,620,253,527,290,2007,Unknown Binding,English,1593603,
1600394,Lonely Planet Hong Kong,"Lonely Planet, Carol Clelow",3.91,256,69,117,53,13,4,15,208,May 1st 1985,Paperback,English,1593590,Lonely Planet
1600399,Two Weeks with the Queen,Morris Gleitzman,3.78,2026,590,680,540,161,55,181,,March 28th 1991,Unknown Binding,,440626,
1600396,Two Weeks With The Queen,Morris Gleitzman,3.78,2026,590,680,540,161,55,181,,March 28th 1991,,,440626,
1600402,Thief of Light,David Ramus,3.28,111,11,32,47,19,2,12,291,1995,Hardcover,English,1500879,
1600403,Once a Thief,Kay Hooper,4.02,5051,1907,1692,1167,237,48,95,336,October 1st 2002,Hardcover,English,1593597,Quinn/Thief
1600404,Thief of Light,David Ramus,3.28,111,11,32,47,19,2,12,,1995,Paperback,English,1500879,
1600401,Once a Thief,Kay Hooper,4.02,5051,1907,1692,1167,237,48,95,,October 1st 2002,Hardcover,English,1593597,Quinn/Thief
1600407,The Art Thief,Noah Charney,3.03,2786,289,621,1003,620,253,527,290,2007,Hardcover,English,1593603,
1600205,Noirotica 2,"Thomas S. Roche, Lucy Taylor, Caitlín R. Kiernan",4.14,7,2,4,1,0,0,1,518,December 1997,Paperback,,1593401,Noirotica
1600412,Lonely Planet Tailandia (Spanish) 1,"Joe Cummings, Lonely Planet",4.05,501,176,198,106,17,4,15,,June 1st 1999,Paperback,Spanish,227024,
234403,Thailand,"Joe Cummings, Sandra Bao, China Williams, Lonely Planet",4.05,501,176,198,106,17,4,15,808,June 1st 1999,Paperback,English,227024,
1600408,Once a Thief,Kay Hooper,4.02,5051,1907,1692,1167,237,48,95,,October 1st 2002,Unknown Binding,English,1593597,Quinn/Thief
1600414,Lonely Planet Phrasebook: Thailand,"Joe Cummings, Lonely Planet",3.65,17,3,6,7,1,0,1,,November 1st 1984,,English,25128627,
234403,Thailand,"Joe Cummings, Sandra Bao, China Williams, Lonely Planet",4.05,501,176,198,106,17,4,15,808,June 1st 1999,Paperback,English,227024,
1600415,Lonely Planet Travel Survival Kit: Thailand,"Lonely Planet, Joe Cummings",3.13,8,0,3,3,2,0,0,,September 1st 1983,,English,15898195,Lonely Planet - Travel Survival Kit
1600418,It's What He Would've Wanted,Sean Hughes,3.27,190,21,52,82,27,8,12,290,September 6th 1999,Paperback,English,814058,
1600419,It's What He Would've Wanted: A Novel,Sean Hughes,3.27,190,21,52,82,27,8,12,304,March 20th 2001,ebook,English,814058,
146559,The Wild Palms,"William Faulkner, Adam Mars-Jones",3.87,4117,1211,1592,968,278,68,312,304,1939,Paperback,English,1046046,
1600422,Stealing the Scream: : The Hunt for a Missing Masterpiece,Edward Dolnick,3.77,2736,709,975,820,180,52,273,270,June 28th 2005,Hardcover,,466991,
1600431,Girls in Pants,Ann Brashares,3.82,75219,20103,27902,21960,4216,1038,1770,416,January 25th 2005,Hardcover,English,1710082,Sisterhood
1600432,Un verano en vaqueros,Ann Brashares,3.80,643286,192904,212860,172517,47236,17769,7510,253,September 11th 2001,,Spanish,1058370,Sisterhood
1600438,A King's Lesson,"Aoi Futaba-葵 二葉, Kurenai Mitsuba",3.12,33,6,6,11,6,4,4,158,October 2nd 2007,Paperback,English,1593635,
1600439,Level C Volume 6,Aoi Futaba-葵 二葉,3.85,34,14,4,13,3,0,1,,January 1st 2003,Paperback,English,1593636,Level C
1600437,سقوط قسطنطنیه,"Mika Waltari, ذبیح‌الله منصوری",4.04,1772,637,703,312,104,16,93,527,1952,Hardcover,Persian,236746,Johannes Angelos
1600440,Level C Volume 1,"Aoi Futaba-葵 二葉, Kurenai Mitsuba",3.45,103,27,23,29,17,7,7,194,March 8th 2005,Paperback,English,1593637,Level C
1600441,"Level C, vol. 2","Aoi Futaba-葵 二葉, Kurenai Mitsuba",3.54,61,17,11,24,6,3,2,194,May 15th 2005,Paperback,,1593638,Level C
1600442,Level C Volume 4,Aoi Futaba-葵 二葉,3.83,36,13,6,15,2,0,0,,January 1st 1997,Paperback,English,1593639,Level C
1600443,Level C Volume 3,"Aoi Futaba-葵 二葉, Kurenai Mitsuba",3.79,48,16,10,18,4,0,0,194,May 31st 2005,Paperback,English,1593640,Level C
1600444,Level C Volume 5,Aoi Futaba-葵 二葉,3.89,37,15,5,15,2,0,0,194,January 1st 2000,Paperback,English,1593641,Level C
63697,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,4.05,176632,66563,66226,33428,7556,2859,7142,243,1985,Paperback,English,882844,
1600456,Nesthäkchen Sammelband,Else Ury,4.43,46,28,11,6,1,0,1,404,November 1st 1997,,German,15675448,Nesthäkchen
1600450,Pearl and the Red Pony,Penquin,3.67,1634,389,607,434,125,79,46,,1947,Audio CD,English,2027545,
1600457,Nesthäkchen und ihre Küken,Else Ury,3.94,120,42,36,35,7,0,3,,1922,,,2228808,Nesthäkchen
1600449,Confessions of a Serial Entrepreneur: Why I Can't Stop Starting Over,"Stuart Skorman, Catherine Guthrie",3.52,50,12,11,20,5,2,11,0,January 31st 2007,Audio CD,English,99961,
1600452,August 1914,Aleksandr Solzhenitsyn,3.93,2392,756,938,516,141,41,167,1120,1971,Hardcover,English,900293,The Red Wheel
1600462,"Ich, Prinzessin Elisabeth von England",Carolyn Meyer,3.88,4911,1418,1816,1396,255,26,305,,May 1st 2001,,,36237,Young Royals
1600463,Shakespeares Schreiber,Gary L. Blackwood,3.75,1355,292,545,426,71,21,89,285,January 1st 2000,Paperback,,2450860,The Shakespeare Stealer
1600465,Die Wolken des Krieges,"Alison Spedding, Michaela Link",3.00,20,2,4,8,4,2,4,505,1986,Paperback,German,604525,Walk in the Dark
1600466,Der dunkle Thron,"Alison Spedding, Michaela Link",3.80,10,2,4,4,0,0,0,440,1988,Paperback,German,2141296,Walk in the Dark
1600461,Peter Pan,"J.M. Barrie, Bernd Wilms, Jan Ormerod",4.03,300880,120337,98439,59030,15623,7451,12199,219,1904,Hardcover,German,1358908,
1600464,Die Siedler von Catan,Rebecca Gablé,3.71,1348,355,489,317,129,58,86,796,2003,Paperback,German,1881461,
566783,Bhagavati,Kara Dalkey,3.54,41,9,10,16,6,0,5,382,May 1st 1998,Hardcover,English,553887,Blood of the Goddess
1443261,Goa,Kara Dalkey,3.31,88,12,21,40,12,3,10,252,August 1st 1996,Hardcover,English,1433903,Blood of the Goddess
1443258,Bijapur,Kara Dalkey,3.51,51,10,14,19,8,0,6,285,April 1st 1997,Hardcover,English,1433899,Blood of the Goddess
1600476,Der kleine Klo-König,Sandra Grimm,2.67,6,0,2,1,2,1,0,20,2006,Board book,German,1593684,
1600477,Blutopfer,"J.R. Ward, Astrid Finke",4.15,921,414,295,163,35,14,57,236,July 2007,Paperback,German,73265703,Black Dagger
1600478,"Eerie Queerie!, Volume 3","Shuri Shiozu, 四方津 朱里",3.80,633,207,178,183,47,18,12,202,November 2001,Paperback,English,1593686,Eerie Queerie!
1600474,Drachenprinz,Naomi Novik,3.87,43517,11354,18603,10780,2051,729,2488,544,April 25th 2006,Paperback,German,2213322,Temeraire
1600486,"Ogre Slayer, Vol. 2",Kei Kusunoki,4.13,8,2,5,1,0,0,0,184,March 18th 1993,Paperback,English,1593694,Ogre Slayer
1600488,Demon Diary 02,"Kara, Lee Chi-Hyong, Lee Chinyung",4.13,1751,802,493,351,89,16,29,200,July 8th 2003,Paperback,German,29952,Demon Diary
