BookID,Title,Author,Rating,Number of raters,5 stars,4 stars,3 stars,2 stars,1 star,Number of reviewers,Pages,PublishDate,Book format,Language,GenreLink,Series
170619,All Around the Town,Mary Higgins Clark,3.96,25131,8028,9393,6612,926,172,716,352,June 1st 1989,Paperback,English,1493482,
1501736,All Through The Night,Mary Higgins Clark,3.71,7687,1845,2564,2600,566,112,337,170,1998,Hardcover,English,2986215,Alvirah & Willy
170619,All Around the Town,Mary Higgins Clark,3.96,25131,8028,9393,6612,926,172,716,352,June 1st 1989,Paperback,English,1493482,
1501737,All Through The Night : A Suspense Story,Mary Higgins Clark,3.71,7687,1845,2564,2600,566,112,337,0,October 19th 1998,Audio Cassette,English,2986215,Alvirah & Willy
1501740,Weep No More My Lady,Mary Higgins Clark,3.83,14092,3675,5205,4462,639,111,377,0,1987,Audio Cassette,English,1493174,Alvirah & Willy
1501742,"Weep No More, My Lady",Mary Higgins Clark,3.83,14092,3675,5205,4462,639,111,377,315,1987,Hardcover,English,1493174,Alvirah & Willy
1501741,"Weep No More, My Lady",Mary Higgins Clark,3.83,14092,3675,5205,4462,639,111,377,0,1987,Audiobook,English,1493174,Alvirah & Willy
1501744,"Weep No More, My Lady",Mary Higgins Clark,3.83,14092,3675,5205,4462,639,111,377,360,1987,Paperback,English,1493174,Alvirah & Willy
1501745,"Weep No More, My Lady",Mary Higgins Clark,3.83,14092,3675,5205,4462,639,111,377,,1987,Hardcover,English,1493174,Alvirah & Willy
1501746,"Weep No More, My Lady",Mary Higgins Clark,3.83,14092,3675,5205,4462,639,111,377,,1987,,,1493174,Alvirah & Willy
1501743,"Weep No More, My Lady",Mary Higgins Clark,3.83,14092,3675,5205,4462,639,111,377,454,1987,Hardcover,English,1493174,Alvirah & Willy
1501750,Nighttime Is My Time,Mary Higgins Clark,3.82,13815,3733,5088,4008,815,171,658,370,2004,Hardcover,English,19199094,
1501749,"Loves Music, Loves to Dance",Mary Higgins Clark,3.92,26241,7823,9893,7232,1119,174,838,,May 15th 1991,Hardcover,English,1470547,
1501748,"Loves Music, Loves To Dance",Mary Higgins Clark,3.92,26241,7823,9893,7232,1119,174,838,,May 15th 1991,Library Binding,English,1470547,
1501747,Camino hacia el pasado,"Mary Higgins Clark, Eduardo García Murillo",3.87,20524,5736,7654,5998,965,171,753,288,April 17th 2001,Paperback,Spanish,1080696,
1501751,Nighttime Is My Time,Mary Higgins Clark,3.82,13815,3733,5088,4008,815,171,658,,April 6th 2004,Hardcover,English,19199094,
1501752,Nighttime Is My Time,Mary Higgins Clark,3.82,13815,3733,5088,4008,815,171,658,,April 6th 2004,Paperback,English,19199094,
1501753,Nighttime Is My Time,Mary Higgins Clark,3.82,13815,3733,5088,4008,815,171,658,0,April 6th 2004,Audio Cassette,English,19199094,
1501757,Escondido en las sombras,"Mary Higgins Clark, Encarna Quijada Vargas",3.82,13815,3733,5088,4008,815,171,658,360,April 6th 2004,Hardcover,Spanish,19199094,
1501755,Nighttime Is My Time,Mary Higgins Clark,3.82,13815,3733,5088,4008,815,171,658,4,April 6th 2004,Audio CD,English,19199094,
1501756,Nighttime Is My Time,Mary Higgins Clark,3.82,13815,3733,5088,4008,815,171,658,0,April 6th 2004,Audio,English,19199094,
1501759,Cradle Will Fall,Mary Higgins Clark,3.91,18192,5268,6947,5080,782,115,453,,1980,Audiobook,English,4603746,
1501761,The Cradle Will Fall,Mary Higgins Clark,3.91,18192,5268,6947,5080,782,115,453,429,1980,Paperback,,4603746,
1501762,The Cradle Will Fall,Mary Higgins Clark,3.91,18192,5268,6947,5080,782,115,453,568,1980,Hardcover,English,4603746,
1501760,The Cradle Will Fall,Mary Higgins Clark,3.91,18192,5268,6947,5080,782,115,453,280,1980,Hardcover,English,4603746,
1501763,Cradle Will Fall,Mary Higgins Clark,3.91,18192,5268,6947,5080,782,115,453,,1980,Paperback,,4603746,
1501764,Hard Courts,John Feinstein,3.95,284,76,124,78,6,0,19,457,June 26th 1991,Hardcover,English,73184,
1501772,The Limits of Social Policy,Nathan Glazer,4.20,5,1,4,0,0,0,0,,August 25th 1988,Paperback,English,1493202,
1501765,"Cradle Will Fall, the",Mary Higgins Clark,3.91,18192,5268,6947,5080,782,115,453,432,1980,Mass Market Paperback,,4603746,
1501771,Courageous Resistance: The Power of Ordinary People,"Kristina E. Thalhammer, Paula L. O'Loughlin, Myron Peretz Glazer, Penina Migdal Glazer, Sam McFarland, Sharon Toffey Shepela, Nathan Stoltzfus",3.20,5,1,0,3,1,0,1,224,July 15th 2007,Paperback,English,1493201,
